Month,County,Sales,Year,Population,Sales per capita
2015-03-01,Pueblo,1355119.0,2015,163196,8.303628765410917
2015-03-01,Routt,616913.0,2015,24310,25.376923076923077
2015-03-01,San Miguel,375409.0,2015,7843,47.86548514599006
2015-04-01,Adams,1611106.0,2015,489923,3.288488191001443
2015-04-01,Arapahoe,3257101.0,2015,629066,5.177677699955171
2015-04-01,Boulder,3973545.0,2015,318570,12.47306714379885
2015-04-01,Chaffee,250729.0,2015,18603,13.477879911842177
2015-04-01,Clear Creek,365896.0,2015,9392,38.95826235093697
2015-04-01,Denver,18946519.0,2015,680658,27.835592911564987
2015-04-01,Eagle,516095.0,2015,53320,9.679201050262566
2015-04-01,Garfield,644631.0,2015,57779,11.156838989944443
2015-04-01,Gilpin,130946.0,2015,5824,22.48385989010989
2015-04-01,Gunnison,160176.0,2015,16097,9.95067403864074
2015-04-01,Jefferson,2429996.0,2015,564619,4.303780071163032
2015-04-01,La Plata,930516.0,2015,54857,16.962575423373497
2015-04-01,Larimer,2045132.0,2015,332830,6.144674458432233
2015-04-01,Las Animas,471514.0,2015,14061,33.533461346988126
2015-04-01,Montezuma,313150.0,2015,26129,11.984767882429484
2015-04-01,Park,121375.0,2015,16716,7.261007418042594
2015-04-01,Pitkin,426689.0,2015,17845,23.910843373493975
2015-04-01,Pueblo,1318252.0,2015,163196,8.077722493198364
2015-04-01,Routt,433152.0,2015,24310,17.817852735499795
2015-04-01,San Miguel,150531.0,2015,7843,19.193038378171618
2015-05-01,Adams,1687270.0,2015,489923,3.4439493553068545
2015-05-01,Arapahoe,3615509.0,2015,629066,5.747423958694318
2015-05-01,Boulder,4281906.0,2015,318570,13.44102081175252
2015-05-01,Chaffee,312605.0,2015,18603,16.8040101058969
2015-05-01,Clear Creek,348152.0,2015,9392,37.068994889267465
2015-05-01,Denver,17590490.0,2015,680658,25.843360395382117
2015-05-01,Eagle,432292.0,2015,53320,8.107501875468866
2015-05-01,Garfield,720995.0,2015,57779,12.478495647207463
2015-05-01,Gilpin,143079.0,2015,5824,24.56713598901099
2015-05-01,Gunnison,176131.0,2015,16097,10.94185251910294
2015-05-01,Jefferson,2538231.0,2015,564619,4.495475710169158
2015-05-01,La Plata,1155547.0,2015,54857,21.064713710191953
2015-05-01,Larimer,2292433.0,2015,332830,6.887699426133461
2015-05-01,Las Animas,606835.0,2015,14061,43.157314557997296
2015-05-01,Montezuma,403035.0,2015,26129,15.424815339278197
2015-05-01,Park,154563.0,2015,16716,9.246410624551329
2015-05-01,Pitkin,329419.0,2015,17845,18.460016811431775
2015-05-01,Pueblo,1482501.0,2015,163196,9.084174857226893
2015-05-01,Routt,419611.0,2015,24310,17.26083916083916
2015-05-01,San Miguel,153689.0,2015,7843,19.59569042458243
2015-06-01,Arapahoe,3753244.0,2015,629066,5.966375547239876
2015-06-01,Boulder,4273572.0,2015,318570,13.41486015632357
2015-06-01,Clear Creek,441514.0,2015,9392,47.00958262350937
2015-06-01,Denver,17280785.0,2015,680658,25.388352153357488
2015-06-01,Eagle,534649.0,2015,53320,10.02717554388597
2015-06-01,Garfield,798425.0,2015,57779,13.818601914190277
2015-06-01,Gilpin,183787.0,2015,5824,31.556833791208792
2015-06-01,Grand,142695.0,2015,14602,9.77229146692234
2015-06-01,Gunnison,273865.0,2015,16097,17.013418649437785
2015-06-01,Jefferson,2584940.0,2015,564619,4.578202292165159
2015-06-01,La Plata,1283234.0,2015,54857,23.392347375904624
2015-06-01,Larimer,2321397.0,2015,332830,6.974722831475528
2015-06-01,Las Animas,714276.0,2015,14061,50.798378493706
2015-06-01,Montezuma,463559.0,2015,26129,17.741168816257797
2015-06-01,Park,191938.0,2015,16716,11.482292414453218
2015-06-01,Pitkin,570064.0,2015,17845,31.94530680862987
2015-06-01,Pueblo,1517777.0,2015,163196,9.300332115983235
2015-06-01,Routt,485969.0,2015,24310,19.99049773755656
2015-07-01,Adams,1822902.0,2015,489923,3.720792859286051
2015-07-01,Arapahoe,4482419.0,2015,629066,7.125514651880724
